no,kod_masco,tajuk_pekerjaan
2455,3343-13,Setiausaha Eksekutif Pentadbiran
2456,3343-15,Pegawai Konsul
2457,3343-16,Penolong Pegawai Eksekutif Kesetiausahaan
2458,3343-17,Setiausaha Pentadbiran
2459,3343-18,Pembantu Surat-Menyurat
2460,3344,Setiausaha Perubatan
2461,3344-01,Setiausaha Perubatan
2462,3344-02,"Pembantu Perubatan, Pentadbiran"
2463,3344-03,Setiausaha Wad Hospital
2464,3344-04,Setiausaha Penjagaan Pesakit
2465,3344-05,Stenografer Perubatan
2466,3344-06,Pembantu Insurans Perubatan
2467,3344-07,Setiausaha Bil Perubatan
2468,3344-08,Setiausaha Patologi
2469,3344-09,Ahli Transkripsi Perubatan
2470,34,Profesional Bersekutu Perundangan
2471,341,Profesional Bersekutu Perundangan
2472,3411,Profesional Bersekutu Perundangan Dan Yang Berkaitan
2473,3411-01,Bailif
2474,3411-02,Pembantu Perundangan
2475,3411-03,Kerani Pemindahhakkan
2476,3411-04,Pembantu Peguam
2477,3411-05,Kerani Undang-undang
2478,3411-06,Kerani Hakim
2479,3411-07,Kerani Mahkamah
2480,3411-08,Kerani Litigasi
2481,3411-09,Pembantu Barister
2482,3411-10,Pembantu Peguamcara
2483,3411-11,Penolong Pegawai Undang-undang Gred L29
2484,3411-12,Penolong Pegawai Eksekutif (Undang-undang) Gred 31
2485,3411-13,Penolong Pegawai Eksekutif (Perundangan) Gred 6
2486,3411-14,Penolong Pegawai Eksekutif (Perundangan) Gred L8
2487,3411-15,Penolong Perundangan
2488,3411-16,Penolong Pegawai Eksekutif Perundangan
2489,3411-17,Penolong Pegawai Syariah Gred LS29
2490,35,Juruteknik Maklumat Dan Komunikasi
2491,351,Juruteknik Operasi Teknologi Maklumat Dan Sokongan Pengguna
2492,3511,Juruteknik Operasi Teknologi Maklumat Dan Komunikasi
2493,3511-01,Juruteknik Komputer Gred FT19
2494,3511-02,Pembantu Tadbir (Operator Komputer) Gred 21
2495,3511-03,Pembantu Tadbir (Juruteknik Komputer) Gred 21
2496,3511-04,Pembantu Eksekutif (Teknologi Maklumat) Gred 3
2497,3511-05,Juruteknik Komputer
2498,3511-06,Jurukelengkapan Jitu Komputer
2499,3511-08,Jurukelengkapan Jitu Komputer Pencetak Kelajuan Tinggi
2500,3511-09,Jurupemprosesan Data Elektronik (EDP)
2501,3511-10,Pembantu Kejuruteraan Komputer
2502,3511-11,Penolong Penyelia Pemprosesan Data Elektronik (EDP)
2503,3511-12,Penyelia Pemprosesan Data Elektronik
2504,3511-13,Juruteknik Semikonduktor
2505,3511-14,Juruteknik Sistem Maklumat
2506,3511-15,Pembantu Teknologi Maklumat
2507,3511-16,Pengendali Konsol Komputer
2508,3511-19,Pengendali Pencetak Komputer Berkelajuan Tinggi
2509,3511-20,Operator Peralatan Periferal Komputer
2510,3511-21,Juruteknik Perkakasan
2511,3511-22,Pembantu Tadbir Juruteknik Komputer
2512,3511-23,Pembantu Kejuruteraan Telekomunikasi
2513,3511-24,Penyelia Sistem Maklumat Pengurusan
2514,3511-25,Penolong Pegawai Teknologi Maklumat Gred FA29
2515,3511-26,Penolong Pegawai Eksekutif (Teknologi Maklumat) Gred 31
2516,3511-27,Penolong Pegawai Eksekutif (Teknologi Maklumat) Gred 6
2517,3511-28,Penolong Pegawai Eksekutif (Teknologi Maklumat) Gred L8
2518,3511-29,Penolong Pegawai Teknologi Maklumat
2519,3511-30,Penolong Eksekutif Sistem Komputer
2520,3511-31,Juruteknik Perkhidmatan (Pencetak Pelbagai Fungsi)
2521,3511-34,Pengatur Program Komputer Gred 19
2522,3511-35,Penolong Jurutera PLC (Pengawal Logik Boleh Diprogram)
2523,3512,Juruteknik Sokongan Pengguna Teknologi Maklumat Dan Komunikasi
2524,3512-01,Juruteknik Meja Bantu Komputer
2525,3512-02,Juruteknik Sokongan Komputer Peribadi
2526,3512-03,Juruteknik Teknologi Maklumat
2527,3512-04,Operator Meja Bantu Komputer
2528,3512-05,Pembantu Kejuruteraan Komputer dan Komunikasi
2529,3512-06,Pembantu Komputer
2530,3512-07,Pembantu Komunikasi (ICT)
2531,3512-08,Pembantu Pangkalan Data
2532,3512-09,Pembantu Pengaturcaraan Komputer
2533,3512-10,Pembantu Perkhidmatan Komputer Pengguna
2534,3512-11,Pegawai Meja Bantu Pelanggan
2535,3512-12,Pengajar Pusat Panggilan
2536,3512-13,Penyelia Pusat Data
2537,3512-14,Pembantu Pusat Data
2538,3512-15,Juruteknik Sokongan Teknikal
2539,3512-16,Operator Wayarles Gred N19
2540,3512-18,Juruteknik Sokongan Perisian Perakaunan
2541,3512-19,Juruteknik Analisis Kegagalan
2542,3513,Juruteknik Rangkaian Dan Sistem Komputer
2543,3513-01,Juruteknik Rangkaian Komputer
2544,3513-02,Juruteknik Rangkaian Sokongan
2545,3513-03,Juruteknik Keselamatan Rangkaian (ICT)
2546,3513-04,Juruteknik Keselamatan Sistem & Aplikasi ICT
2547,3513-05,Penolong Jurutera Rangkaian
2548,3513-06,Penolong Pegawai Keselamatan Sistem
2549,3514,Juruteknik Web
2550,3514-01,Juruteknik Laman Web
2551,3514-02,Juruteknik Web
2552,3514-03,Juruanimasi Multimedia
2553,3514-04,Penolong Pereka Grafik
2554,3514-05,Juruteknik Seni dan Reka Bentuk
2555,3514-06,Penolong Kreatif
2556,352,Juruteknik Telekomunikasi Dan Penyiaran
2557,3521,Juruteknik Penyiaran Dan Audiovisual
2558,3521-01,Juruaudio Visual Gred N19
2559,3521-02,Juruwayang Gambar
2560,3521-03,Operator Audio Visual
2561,3521-04,Pembantu Produksi (Media)
2562,3521-05,Pembantu Wayang Gambar
2563,3521-06,Juruteknik Kesan Bunyi
2564,3521-07,Pengadun Alih Suara
2565,3521-08,Pengadun Bunyi
2566,3521-09,Penyunting Bunyi
2567,3521-10,Jurutayang Pawagam
2568,3521-11,Pegawai Radio Kapal
2569,3521-12,Juruteknik Penyiaran
2570,3521-13,Juruteknik Peralatan Audio dan Video
2571,3521-14,Juruperalatan Penyiaran
2572,3521-15,Juruperalatan Penyiaran Radio dan Televisyen
2573,3521-16,Juruperalatan Radio Pangkalan Darat
2574,3521-17,Juruperalatan Radio Penerbangan
2575,3521-18,Juruperalatan Telekomunikasi
2576,3521-19,Juruperalatan Transmisi Radio dan Televisyen
2577,3521-20,Operator Peralatan Penyiaran
2578,3521-21,Jurukamera (Motion Picture)
2579,3521-22,Jurukamera (Video)
2580,3521-23,Juruvideografi
2581,3521-24,Penolong Jurutera Telekomunikasi
2582,3521-25,Penolong Editor
2583,3522,Juruteknik Kejuruteraan Telekomunikasi
2584,3522-01,Juruteknik Kejuruteraan Aeroangkasa (Telekomunikasi)
2585,3522-02,Juruteknik Kejuruteraan Telekomunikasi
2586,3522-03,Juruteknik Komunikasi
2587,3522-04,Juruteknik Telekomunikasi
2588,36,"Profesional Bersekutu Sosial, Kebudayaan, Dan Yang Berkaitan"
2589,361,Profesional Bersekutu Sosial Dan Keagamaan
2590,3611,Profesional Bersekutu Kerja Sosial
2591,3611-01,Pekerja Sosial
2592,3611-02,"Pekerja Sosial, Kerja Berkumpulan"
2593,3611-03,"Pegawai Kebajikan, Industri"
2594,3611-04,"Pegawai Kebajikan, Perunding Cara"
2595,3611-05,"Pegawai Parol, Profesional Bersekutu"
2596,3611-06,"Pegawai Perunding Cara, Profesional Bersekutu"
2597,3611-07,Pegawai Perancang Keluarga
2598,3611-08,Pekerja Kebajikan Sosial
2599,3611-09,"Pekerja Kebajikan Sosial, Kerja Kes"
2600,3611-10,"Pekerja Sosial, Kebajikan Kanak-Kanak"
2601,3611-11,"Pekerja Sosial, Masalah Remaja"
2602,3611-12,"Pekerja Sosial, Masyarakat"
2603,3611-13,"Pekerja Sosial, Perubatan"
2604,3611-14,"Pekerja Sosial, Psikiatri"
2605,3611-15,Penganjur Kebajikan
2606,3611-16,Pembantu Kaunselor
2607,3611-17,Pekerja Pembangunan Masyarakat
2608,3611-18,Pekerja Perkhidmatan Masyarakat
2609,3611-19,Pegawai Perkhidmatan Hilang Upaya
2610,3611-20,Pekerja Perkhidmatan Keluarga
2611,3611-21,Pengajar Kemahiran Hidup
2612,3611-22,Pekerja Kesihatan Mental
2613,3611-23,Pekerja Sokongan Kebajikan
2614,3611-24,Penyelia Perlindungan Wanita
2615,3611-25,Pekerja Belia
2616,3611-26,Penolong Pegawai Penyelidik Sosial Gred N29
2617,3611-27,Penolong Pegawai Pembangunan Masyarakat Gred S29
2618,3611-28,Penolong Pegawai Psikologi Gred S29
2619,3611-29,Penolong Pegawai Antidadah Gred S29
2620,3611-30,Penolong Pegawai Eksekutif (Psikologi) Gred 31
2621,3611-31,Pemaju Masyarakat Pendidikan Kemahiran Jahitan
2622,3611-32,Pemaju Masyarakat Pendidikan Kemahiran Masakan
2623,3612,Profesional Bersekutu Keagamaan
2624,3612-01,Sami
2625,3612-02,Biarawan
2626,3612-03,Pendakwah
2627,3612-04,Bilal
2628,3612-05,Penyembuh Rohani
2629,3612-06,Penolong Pegawai Hal Ehwal Islam Gred S29
2630,3612-07,Mutawif/Mutawifah
2631,362,"Profesional Bersekutu Kesukanan, Pertahanan Diri, Dan Kecergasan"
2632,3621,Atlet Dan Ahli Sukan
2633,3621-01,Ahli Sukan
2634,3621-02,Atlet
2635,3621-03,Peninju
2636,3621-04,Pemain Bola Sepak
2637,3621-05,Pemain Hoki
2638,3621-06,Pemain Tenis
2639,3621-07,Ahli Gusti
2640,3621-08,Pemain Catur
2641,3621-09,Pemain Golf
2642,3621-10,Penungggang Kuda Lumba
2643,3621-11,Pemandu Perlumbaan
2644,3621-12,Pemain E-Sukan
2645,3622,"Jurulatih, Pengajar, Dan Pegawai Sukan"
2646,3622-01,Penolong Pegawai Belia dan Sukan Gred S29
2647,3622-02,Pegawai Sukan
2648,3622-03,Pengadil
2649,3622-04,Jurulatih Sukan
2650,3622-05,Jurulatih Senamrobik
2651,3622-06,Jurulatih Judo
2652,3622-07,Jurulatih Karate
2653,3622-08,Jurulatih Silat
2654,3622-09,Jurulatih Taekwando
2655,3622-10,Jurulatih Tenis
2656,3622-11,Jurulatih Tai-Chi
2657,3622-12,Jurulatih Yoga
2658,3622-13,Jurulatih Renang
2659,3622-14,"Jurulatih, Pengajar dan Pegawai Sukan Lain (Dalaman)"
2660,3622-15,"Jurulatih, Pengajar dan Pegawai Sukan Lain (Luaran)"
2661,3622-16,Pengajar Sukan
2662,3622-17,Pengajar dan Penyelaras Latihan Berkumpulan
2663,3622-18,Penjaga Garisan
2664,3622-19,Pengajar Renang
2665,3622-20,Jurulatih Am
2666,3622-21,Pengajar Am
2667,3622-22,Penolong Pegawai Kesatria Gred S29
2668,3623,"Ketua Program, Dan Pengajar Kecergasan Dan Rekreasi"
2669,3623-01,Pengajar Kecergasan Fizikal
2670,3623-02,Pengajar Biliard
2671,3623-03,Pengajar Catur
2672,3623-04,Pengajar Pelayaran
2673,3623-05,Pengajar Tunggang Kuda
2674,3623-06,Pemandu Aktiviti Lasak
2675,3623-07,Penyelia Rumah Kelab
2676,3623-08,Pelatih Persendirian
2677,3623-09,Pengajar Aerobik
2678,3623-10,Pengajar Penyelam
2679,3623-11,Pengajar Kecergasan
2680,3623-12,Ketua Selam
2681,3623-13,Pelatih Profesional
2682,3623-14,Koordinator Program (Sukan)
2683,363,Profesional Bersekutu Kesenian Dan Kebudayaan
2684,3631,Jurugambar
2685,3631-01,Pembantu Tadbir (Ahli Fotografi) Gred 21
2686,3631-02,Jurugambar
2687,3631-03,Jurugambar Ilustrasi Komersil
2688,3631-04,Jurugambar Akhbar
2689,3631-05,Jurugambar Berita
2690,3631-06,Wartawan Gambar
2691,3631-07,Jurugambar Udara
2692,3631-08,Mikrofotografer
2693,3631-09,Jurugambar Mikrofotografi
2694,3631-11,Jurugambar Saintifik
2695,3631-12,Jurugambar Komersil
2696,3631-13,Jurugambar Industri
2697,3631-14,Jurugambar Potret
2698,3631-15,Jurufotografi Gred B19
2699,3631-16,Jurufotografi Gred B29
2700,3631-17,Jurufotografi Gred B21
2701,3631-18,Jurufotografi Gred B25
2702,3631-19,Jurufotografi Gred B31
2703,3631-20,Jurufotografi Gred B37
2704,3631-21,Jurufotografi Gred B39
2705,3632,Pereka Bentuk Dan Juruhias Dalaman
2706,3632-01,Pereka Gred B19
2707,3632-02,Pereka Hiasan Dalaman
2708,3632-03,Pereka Perabot
2709,3632-04,Pereka Poster
2710,3632-05,Penerbitan Desktop Artis
2711,3632-06,Ilustrator Buku
2712,3632-07,Ilustrator Pengiklanan
2713,3632-08,Artis Pameran
2714,3632-09,Juruhias Pameran
2715,3632-10,Pereka Hiasan Visual
2716,3632-11,Pereka Lambang
2717,3632-12,Pereka Pameran
2718,3632-13,Pereka Pameran Jendela Pamer
2719,3632-14,Pereka Pemandangan
2720,3632-15,Pereka Pertunjukan
2721,3632-16,Juruhias Dalaman
2722,3632-17,Pereka Kerja Logam Perhiasan
2723,3632-18,Juruhias Set Wayang Gambar
2724,3632-19,Pereka Set Teater
2725,3632-20,Penggubah Bunga
2726,3632-21,Juruteknik Ukiran
2727,3632-22,Pereka Set
2728,3632-23,Window Dresser
2729,3632-24,Pereka Gred B21
2730,3632-25,Pereka Gred B25
2731,3632-26,Pereka Gred B29
2732,3632-27,Pereka Gred B31
2733,3632-28,Pereka Gred B37
2734,3632-29,Eksekutif Fit Out
2735,3633,"Profesional Bersekutu Galeri, Muzium, Dan Perpustakaan"
2736,3633-01,Pembantu Arkib Gred S19
2737,3633-02,Pembantu Pemuliharaan Gred S19
2738,3633-03,Pembantu Muzium Gred S19
2739,3633-04,Juruteknik Galeri
2740,3633-05,Juruteknik Perpustakaan
2741,3633-06,Juruteknik Muzium
2742,3633-07,Penolong Pegawai Arkib Gred S29
2743,3633-08,Penolong Kurator Gred S29
2744,3633-09,Penolong Pustakawan Gred S29
2745,3633-10,Penolong Pegawai Eksekutif (Perpustakaan) Gred 6
2746,3633-11,Penolong Eksekutif Perpustakaan
2747,3633-12,Penolong Pegawai Eksekutif Perpustakaan
2748,3633-13,Penolong Pegawai Eksekutif (Perpustakaan) Gred 31
2749,3633-14,Pemaju Masyarakat Pusat Sumber Gred S19
2750,3634,Profesional Bersekutu Kebudayaan Dan Kesenian
2751,3634-01,Ahli Muzik Gred B19
2752,3634-02,Artis Budaya Gred B19
2753,3634-03,Ahli Muzik Gred B29
2754,3634-04,Artis Budaya B29
2755,3634-05,Pegawai Kebudayaan Gred B19
2756,3634-06,Pegawai Kebudayaan Gred B29
2757,3634-07,Penerbit Rancangan Gred B19
2758,3634-08,Juruteknik Kesan Khas
2759,3634-09,Juruteknik Pencahayaan
2760,3634-10,Penyelaras Program (Penyiaran)
2761,3634-11,Pembantu Ingat
2762,3634-12,Penyelia Harta (Penyiaran)
2763,3634-13,Tukang Skrip
2764,3634-14,Juruteknik Pentas
2765,3634-15,Penyelaras Stunt
2766,3634-16,Pelakon Aksi
2767,3634-17,Juruteknik Teater
2768,3634-18,Penerbit Rancangan Gred B21
2769,3634-19,Penerbit Rancangan Gred B25
2770,3634-20,Penerbit Rancangan Gred B29
2771,3634-21,Penerbit Rancangan Gred B31
2772,3634-22,Penerbit Rancangan Gred B37
2773,3634-23,Ahli Muzik Gred B21
2774,3634-24,Ahli Muzik Gred B25
2775,3634-25,Ahli Muzik Gred B31
2776,3634-26,Ahli Muzik Gred B37
2777,3634-27,Pegawai Kebudayaan Gred B21
2778,3634-28,Pegawai Kebudayaan Gred B25
2779,3634-29,Pegawai Kebudayaan Gred B31
2780,3634-30,Pegawai Kebudayaan Gred B37
2781,3634-31,Artis Budaya B21
2782,3634-32,Artis Budaya B25
2783,3634-33,Artis Budaya B31
2784,3634-34,Artis Budaya B37
2785,3634-35,Artis Budaya B39
2786,3634-36,Tukang Karut (Dikir Barat)
2787,3634-37,Penyelaras Program
2788,3634-38,Penolong Pengeluar
2789,3639,Profesional Bersekutu Kesenian Dan Kebudayaan Yang Tidak Dikelaskan Di Mana- Mana
2790,364,Profesional Bersekutu Kulinari
2791,3641,Jurumasak
2792,3641-01,Sous Chef
2793,3641-02,Chef De Partie
2794,3641-03,Jurumasak Kanan
2795,3641-04,Chef
2796,3641-05,Jurumasak Panggang
2797,3641-06,Jurumasak Dim Sum
2798,3641-07,Jurumasak Masakan Melayu
2799,3641-08,Jurumasak Pastri
2800,3641-09,Penyedia Hidangan
2801,3641-10,Penyelaras Dapur
2802,3641-11,Saucier
2803,3641-12,Penolong Jurumasak
2804,3641-13,Penolong Jurumasak Dim Sum
2805,3641-14,Penolong Jurumasak Eksekutif
2806,3641-15,Eksekutif Sous Chef
2807,3641-16,Penolong Eksekutif Penyedia Makanan
2808,3641-17,Penolong Pegawai Penyediaan Makanan Gred C29
2809,37,Profesional Bersekutu Badan Pengawalaturan
2810,371,Profesional Bersekutu Badan Pengawalaturan
2811,3711,Profesional Bersekutu Inspektor Kastam Dan Sempadan
2812,3711-01,Inspektor Kastam
2813,3711-02,Inspektor Kastam dan Sempadan
2814,3711-03,Inspektor Sempadan
2815,3711-04,Pegawai Pemeriksaan Pasport
2816,3711-05,Penolong Penguasa Kastam Gred WK29
2817,3711-06,Penolong Penguasa Imigresen KP29
2818,3712,Profesional Bersekutu Pegawai Percukaian Dan Eksais
2819,3712-01,Penolong Pegawai Eksekutif (Penaksiran) Gred 31
2820,3712-02,Penolong Pegawai Eksekutif Penaksiran
2821,3713,Profesional Bersekutu Pegawai Faedah Sosial Kerajaan
2822,3713-01,Penolong Pegawai Tuntutan Keselamatan Sosial
2823,3714,Profesional Bersekutu Pegawai Pelesenan Kerajaan
2824,3714-01,Inspektor Pelesenan
2825,3714-02,Penolong Pegawai Penguatkuasa Gred KP29
2826,3714-03,Penolong Pegawai Eksekutif (Penguatkuasaan) Gred L8
2827,3715,Pegawai Polis
2828,3715-01,Inspektor Polis
2829,3715-02,Detektif Polis
2830,3715-03,Pegawai Polis
2831,3715-04,Ejen Pertanyaan Polis
2832,3715-05,Pegawai Patrol Polis
2833,3715-06,Detektif Persendirian
2834,3715-07,Penyiasat Persendirian
2835,3716,Profesional Bersekutu Pertahanan Awam
2836,3716-01,Inspektor Perkhidmatan Awam
2837,3716-02,Inspektor Pentadbiran Kerajaan
2838,3716-03,Pegawai RELA
2839,3716-04,Askar Wataniah
2840,3716-05,Penolong Pegawai Pertahanan Awam Gred KP29
2841,3716-06,Penolong Pegawai Keselamatan Gred KP29
2842,3716-07,Penolong Pegawai Eksekutif (Keselamatan) Gred 31
2843,3719,Profesional Bersekutu Badan Pengawalaturan Yang Tidak Dikelaskan Di Mana-Mana
2844,3719-01,Pegawai Lain-lain Pangkat Penguat Kuasa Maritim Gred T5
2845,3719-02,Pegawai Pemeriksa Harga
2846,3719-03,Inspektor Kebakaran dan Keselamatan
2847,3719-04,Inspektor Timbang dan Sukat
2848,3719-05,Pegawai Pemeriksa Gaji
2849,3719-06,Pegawai Pusat Pengundian
2850,3719-07,Inspektor Pertanian
2851,3719-08,Inspektor Penternakan
2852,3719-09,Inspektor Hutan
2853,3719-10,Algojo
2854,3719-11,Penolong Penguasa Bomba Gred KB29
2855,3719-12,Penolong Penguasa Penjara Gred KA29
2856,3719-13,Penolong Pegawai Siasatan Gred P29
2857,3719-14,Penolong Pegawai Siasatan Gred P31
2858,3719-15,Penolong Pegawai Siasatan Gred P37
2859,3719-16,Penolong Pegawai Perhubungan Perusahaan Gred S29
2860,3719-17,Penolong Pegawai Pendaftaran Gred KP29
2861,41,Kerani Pejabat
2862,411,Kerani Am Pejabat
2863,4111,Kerani Am Pejabat
2864,4111-01,Pembantu Tadbir (Perkeranian/Operasi) Gred N19
2865,4111-02,Pembantu Pentadbir Tanah Gred NT19
2866,4111-03,Pembantu Tadbir (Pereka) Gred 21
2867,4111-04,Pembantu Tadbir (Perkeranian) Gred 21
2868,4111-05,Pembantu Tadbir (Kejuruteraan) Gred 21
2869,4111-06,Pembantu Eksekutif (Pentadbiran dan Sokongan) Gred 3
2870,4111-07,Pembantu Eksekutif (Kejuruteraan) Gred 3
2871,4111-08,Pembantu Eksekutif (Perkeranian) Gred L11
2872,4111-10,Kerani Pejabat
2873,4111-12,Kerani Perkhidmatan Bilik
2874,4111-13,Kerani Sulit
2875,4111-18,Pembantu Tadbir Am
2876,4111-21,Kerani Pentadbiran Gred K1
2877,4111-25,Pembantu Eksekutif (Ekonomi) Gred 3
2878,4111-26,Pembantu Ehwal Ekonomi Gred E19
2879,4111-27,Pegawai Kerani Gred 14
2880,4111-28,Pembantu Penyelaras
2881,412,Setiausaha (AM)
2882,4121,Setiausaha (Am)
2883,4121-01,Setiausaha Pejabat Gred N29
2884,4121-02,Pembantu Setiausaha Pejabat Gred N19
2885,4121-03,Pembantu Tadbir (Kesetiausahaan) Gred 21
2886,4121-04,Pembantu Eksekutif (Kesetiausahaan) Gred 3
2887,4121-07,Setiausaha
2888,4121-13,Setiausaha/Pembantu Setiausaha Gred 19
2889,413,Pengendali Papan Kekunci
2890,4131,Jurutaip
2891,4131-01,Jurutaip
2892,4131-02,Jurutrengkas
2893,4131-04,Pembantu Am Jurutaip
2894,4131-05,Pentranskripsi
2895,4131-06,Pengesah Pengecaman Aksara Optik (OCR)
2896,4132,Kerani Kemasukan Data
2897,4132-01,Kerani Indeks
2898,4132-02,Kerani Rekod
2899,4132-03,Pembantu Am Sistem Maklumat (Operator Mesin Prosesan Data)
2900,4132-04,Kerani Kemasukan Data Komputer
2901,4132-05,Operator Kemasukan Data
2902,4132-06,Kerani Kemasukan Bayaran
2903,4132-07,Kerani Teknologi Maklumat
2904,4132-08,Kerani Sistem Maklumat Pengurusan
2905,4132-09,Kerani Kemasukan Data
2906,4132-10,Kerani Sistem
2907,4132-11,Pelabel Data dan Media
2908,42,Kerani Perkhidmatan Pelanggan
2909,421,"Juruwang, Pemungut Wang, Dan Kerani Yang Berkaitan"
2910,4211,Juruwang Bank Dan Kerani Yang Berkaitan
2911,4211-01,Kerani Pos
2912,4211-02,Juruwang Bank
2913,4211-04,Pengurup Wang
2914,4211-05,Kerani Deposit Selamat
2915,4211-08,Kerani Kaunter Pejabat Pos
2916,4212,"Penerima Taruhan, Krupier, Dan Pekerja Permainan Yang Berkaitan"
2917,4212-01,Kerani Kaunter Pertaruhan
2918,4212-02,Kerani Penerima Taruhan
2919,4213,Broker Gadaian Dan Peminjam Wang
2920,4213-01,Broker Gadaian
2921,4213-02,Pemberi Pinjam Wang
2922,4214,"Pemungut Hutang Dan Sewa, Dan Pekerja Yang Berkaitan"
2923,4214-01,Pemungut Bayaran
2924,4214-02,Pemungut Bil
2925,4214-03,Pemungut Derma
2926,4214-04,Pemungut Hutang
2927,4214-05,Pemungut Sewa
2928,4214-06,Kerani Sewa
2929,4214-07,Kerani Sewa Kenderaan Berat
2930,4214-08,Kerani Sewa Kereta
2931,422,Pekerja Maklumat Pelanggan
2932,4221,Perunding Perjalanan Dan Kerani Yang Berkaitan
2933,4221-01,Perunding Pelancongan
2934,4221-03,Kerani Agensi Pelancongan
2935,4221-06,Kerani Pengeluaran Tiket Perjalanan
2936,4222,Kerani Pusat Penerangan Informasi
2937,4222-01,Pembantu Penerangan Gred S19
2938,4222-02,Kerani Janji Temu
2939,4222-03,Penyelia Perkhidmatan Pelanggan
2940,4222-04,Kerani Pusat Panggilan
2941,4222-05,Pembantu Perkhidmatan Pelanggan
2942,4222-06,Ejen Pusat Panggilan (Perkhidmatan Pelanggan)
2943,4222-07,Kerani Pusat Perhubungan Informasi Pelanggan
2944,4223,Operator Telefon
2945,4223-01,Operator Perkhidmatan Telekomunikasi
2946,4224,Penyambut Tetamu
2947,4224-01,Penyambut Tetamu
2948,4224-02,Penyambut Tetamu Perubatan
2949,4224-04,Penyambut Tetamu Telefon
2950,4224-10,Penyambut Tetamu Hotel
2951,4224-12,Pembantu Tempahan
2952,4224-13,Penyelia Tempahan
2953,4224-14,Concierge
2954,4224-15,"Ketua, Concierge"
2955,4224-17,Pembantu Perkhidmatan Tetamu
2956,4224-18,Ejen Tempahan
2957,4225,Kerani Pertanyaan
2958,4225-01,Pembantu Tadbir (Khidmat Pelanggan) Gred 21
2959,4225-02,Pegawai Khidmat Pelanggan Gred N19
2960,4225-03,Kerani Aduan Pelanggan
2961,4225-05,Kerani Maklumat
2962,4225-06,Pegawai Khidmat Pelanggan Gred 14
2963,4226,Penemuduga Tinjauan Dan Penyelidikan Pasaran
2964,4226-01,Penemuduga Penyelidikan Pasaran
2965,4226-02,Penemuduga Tinjauan
2966,4229,Pekerja Maklumat Pelanggan Yang Tidak Dikelaskan Di Mana-Mana
2967,4229-01,Kerani Kemasukan Hospital
2968,4229-03,Pakar Kelayakan
2969,43,Kerani Perekodan Data Berangka Dan Bahan
2970,431,Kerani Data Berangka
2971,4311,Kerani Perakaunan Dan Simpan Kira
2972,4311-01,Pembantu Tadbir (Perakaunan) Gred 21
2973,4311-02,Pembantu Eksekutif (Perakaunan) Gred 3
2974,4311-12,Kerani Lelong
2975,4311-14,Kerani Audit
2976,4311-15,Kerani Kawalan Kredit
2977,4311-18,Kerani Bil
2978,4311-19,Kerani Harta
2979,4311-20,Kerani Kos
2980,4311-22,Kerani Pengiraan Kos
2981,4311-23,Kerani Tunai Pejabat
2982,4311-24,Pembantu Kos
2983,4311-25,Pembantu Akauntan Gred W19
2984,4311-26,Pembantu Juruaudit Gred W19
2985,4311-27,Pembantu Tadbir (Pengauditan) Gred 21
2986,4311-28,Pembantu Eksekutif (Pengauditan) Gred 3
2987,4311-29,Pembantu Kewangan
2988,4311-31,Pembantu Tadbir Pengauditan
2989,4311-32,Pembantu Juruteknik Audit Tenaga
2990,4311-33,Penyimpan Akaun Gred 14
2991,4311-34,Pembantu Pematuhan
2992,4312,"Kerani Perangkaan, Kewangan, Dan Insurans"
2993,4312-01,Pembantu Tadbir (Kewangan) Gred W19
2994,4312-02,Pembantu Eksekutif (Kewangan) Gred 3
2995,4312-03,Kerani Perangkaan
2996,4312-04,Pembanci Data Sosial dan Ekonomi
2997,4312-05,Pembanci Lapangan
2998,4312-06,Pembanci Pendapat Umum
2999,4312-07,Pembanci Penyelidikan Pasaran
3000,4312-09,Kerani Tuntutan
3001,4312-10,Pembantu Penyelia Insurans Penaja Jaminan
3002,4312-12,Pembantu Penaja Jaminan Insurans
3003,4312-13,Pembantu Polisi Insurans
3004,4312-14,Pembantu Tuntutan Insurans
3005,4312-15,Kerani Kewangan
3006,4312-16,Kerani Aktuari
3007,4312-17,Kerani Broker Saham
3008,4312-18,Kerani Insurans
3009,4312-19,Kerani Cukai
3010,4312-20,Kerani Pelaburan
3011,4312-21,Kerani Pelarasan
3012,4312-22,Kerani Pembrokeran
3013,4312-23,Kerani Pendaftaran Saham dan Stok
3014,4312-24,Kerani Perkadaran
3015,4312-25,Pembantu Broker
3016,4312-26,Kerani Bon
3017,4312-27,Kerani Cagaran
3018,4312-28,Kerani Gadai Janji
3019,4312-29,Kerani Rumah Penjelasan Perbankan
3020,4312-30,Kerani Kewangan Gred K1
3021,4312-31,Pembantu Perangkaan Gred E19
3022,4312-33,Pembantu Aktuari
3023,4312-34,Pembantu E-Dagang
3024,4312-35,Pembantu Pajakan
3025,4313,Kerani Gaji
3026,4313-01,Kerani Gaji
3027,432,Kerani Perekodan Bahan Dan Pengangkutan
3028,4321,Kerani Stok
3029,4321-01,Kerani Bahan Mentah
3030,4321-03,Kerani Gudang
3031,4321-04,Kerani Penerimaan
3032,4321-06,Kerani Stor
3033,4321-18,Kerani Kawalan Makanan dan Minuman
3034,4321-22,Kerani Timbangan
3035,4321-25,Kerani Pemeriksa Barang
3036,4321-30,Kerani Angkut Barang
3037,4321-36,Kerani Import-Eksport
